datetime,duty,wav1,wav2,duty_read,time1,I1_dmm,I1_vetrnik,U1_vetrnik,time2,I2_dmm,I2_vetrnik,U2_vetrnik,I1_dmm_A,I2_dmm_A
2024-06-30 17:47:43.580089,5,experiments/vetrnik-I-waveform-zarovka-run2/d5-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d5-wav2,5,2543, 00.146e00 A DC   ,0.082,10.6,2548, 00.167e00 A DC   ,0.123,10.6,0.146,0.167
2024-06-30 17:47:53.234144,8,experiments/vetrnik-I-waveform-zarovka-run2/d8-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d8-wav2,8,2552, 00.270e00 A DC   ,0.205,10.6,2558, 00.262e00 A DC   ,0.205,10.6,0.27,0.262
2024-06-30 17:48:02.949785,10,experiments/vetrnik-I-waveform-zarovka-run2/d10-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d10-wav2,10,2562, 00.319e00 A DC   ,0.246,10.6,2568, 00.316e00 A DC   ,0.246,10.6,0.319,0.316
2024-06-30 17:48:12.827451,12,experiments/vetrnik-I-waveform-zarovka-run2/d12-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d12-wav2,12,2572, 00.366e00 A DC   ,0.287,10.6,2578, 00.364e00 A DC   ,0.287,10.6,0.366,0.364
2024-06-30 17:48:22.528900,15,experiments/vetrnik-I-waveform-zarovka-run2/d15-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d15-wav2,15,2581, 00.442e00 A DC   ,0.369,10.6,2587, 00.439e00 A DC   ,0.369,10.6,0.442,0.439
2024-06-30 17:48:32.251068,20,experiments/vetrnik-I-waveform-zarovka-run2/d20-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d20-wav2,20,2591, 00.560e00 A DC   ,0.492,10.6,2597, 00.557e00 A DC   ,0.451,10.6,0.56,0.557
2024-06-30 17:48:41.984304,25,experiments/vetrnik-I-waveform-zarovka-run2/d25-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d25-wav2,25,2601, 00.665e00 A DC   ,0.574,10.6,2607, 00.662e00 A DC   ,0.574,10.6,0.665,0.662
2024-06-30 17:48:51.704505,35,experiments/vetrnik-I-waveform-zarovka-run2/d35-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d35-wav2,35,2611, 00.866e00 A DC   ,0.779,10.6,2616, 00.864e00 A DC   ,0.779,10.6,0.866,0.864
2024-06-30 17:49:01.425685,50,experiments/vetrnik-I-waveform-zarovka-run2/d50-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d50-wav2,50,2620, 01.145e00 A DC   ,1.066,10.5,2626, 01.142e00 A DC   ,1.025,10.5,1.145,1.142
2024-06-30 17:49:11.145317,75,experiments/vetrnik-I-waveform-zarovka-run2/d75-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d75-wav2,75,2630, 01.562e00 A DC   ,1.435,10.3,2636, 01.559e00 A DC   ,1.435,10.5,1.562,1.559
2024-06-30 17:49:20.886459,100,experiments/vetrnik-I-waveform-zarovka-run2/d100-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d100-wav2,100,2640, 01.947e00 A DC   ,1.804,10.3,2646, 01.943e00 A DC   ,1.804,10.3,1.947,1.943
2024-06-30 17:49:30.570519,125,experiments/vetrnik-I-waveform-zarovka-run2/d125-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d125-wav2,125,2650, 02.305e00 A DC   ,2.173,10.2,2655, 02.302e00 A DC   ,2.173,10.2,2.305,2.302
2024-06-30 17:49:40.290658,150,experiments/vetrnik-I-waveform-zarovka-run2/d150-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d150-wav2,150,2659, 02.660e00 A DC   ,2.501,10.2,2665, 02.656e00 A DC   ,2.501,10.2,2.66,2.656
2024-06-30 17:49:50.026708,175,experiments/vetrnik-I-waveform-zarovka-run2/d175-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d175-wav2,175,2669, 02.992e00 A DC   ,2.788,10.0,2675, 02.990e00 A DC   ,2.788,10.0,2.992,2.99
2024-06-30 17:49:59.732997,200,experiments/vetrnik-I-waveform-zarovka-run2/d200-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d200-wav2,200,2679, 03.318e00 A DC   ,3.075,10.0,2684, 03.315e00 A DC   ,3.075,10.0,3.318,3.315
2024-06-30 17:50:09.454153,225,experiments/vetrnik-I-waveform-zarovka-run2/d225-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d225-wav2,225,2688, 03.628e00 A DC   ,3.321,9.9,2694, 03.626e00 A DC   ,3.321,9.9,3.628,3.626
2024-06-30 17:50:19.200570,240,experiments/vetrnik-I-waveform-zarovka-run2/d240-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d240-wav2,240,2698, 03.810e00 A DC   ,3.485,9.9,2704, 03.808e00 A DC   ,3.485,9.9,3.81,3.808
2024-06-30 17:50:28.890386,245,experiments/vetrnik-I-waveform-zarovka-run2/d245-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d245-wav2,245,2708, 03.867e00 A DC   ,3.526,9.9,2714, 03.867e00 A DC   ,3.526,9.9,3.867,3.867
2024-06-30 17:50:38.612103,247,experiments/vetrnik-I-waveform-zarovka-run2/d247-wav1,experiments/vetrnik-I-waveform-zarovka-run2/d247-wav2,247,2718, 03.891e00 A DC   ,3.567,9.9,2723, 03.890e00 A DC   ,3.567,9.9,3.891,3.89
