datetime,voltage_set,voltage_get1,voltage_dmm1,time1,voltage_vetrnik1,voltage_get2,voltage_dmm2,time2,voltage_vetrnik2,voltage_get3,voltage_dmm3,time3,voltage_vetrnik3,voltage_dmm1_V,voltage_dmm2_V,voltage_dmm3_V
2024-07-01 22:11:10.541995,2,2, 02.342e00 V DC   ,1354,2.1,2, 02.369e00 V DC   ,1355,2.1,2, 02.383e00 V DC   ,1357,2.1,2.342,2.369,2.383
2024-07-01 22:11:15.180022,3,3, 03.930e00 V DC   ,1359,3.6,3, 03.957e00 V DC   ,1360,3.8,3, 03.967e00 V DC   ,1361,3.8,3.93,3.957,3.967
2024-07-01 22:11:19.769974,5,5, 07.140e00 V DC   ,1363,6.8,5, 07.156e00 V DC   ,1365,7.0,5, 07.158e00 V DC   ,1366,7.0,7.14,7.156,7.158
2024-07-01 22:11:24.360379,10,10, 014.39e00 V DC   ,1368,14.2,11, 014.39e00 V DC   ,1369,14.2,11, 014.40e00 V DC   ,1370,14.2,14.39,14.39,14.4
2024-07-01 22:11:28.949898,15,16, 022.47e00 V DC   ,1373,22.2,16, 022.50e00 V DC   ,1374,22.2,16, 022.51e00 V DC   ,1375,22.4,22.47,22.5,22.51
2024-07-01 22:11:33.617683,20,21, 029.72e00 V DC   ,1377,29.4,21, 029.82e00 V DC   ,1378,29.6,21, 029.83e00 V DC   ,1380,29.6,29.72,29.82,29.83
2024-07-01 22:11:38.209869,25,26, 037.00e00 V DC   ,1382,36.8,26, 037.03e00 V DC   ,1383,36.9,27, 037.09e00 V DC   ,1384,36.9,37.0,37.03,37.09
2024-07-01 22:11:42.997621,30,32, 045.33e00 V DC   ,1387,45.2,32, 045.12e00 V DC   ,1388,45.0,32, 045.12e00 V DC   ,1389,45.0,45.33,45.12,45.12
2024-07-01 22:11:47.594307,35,38, 053.30e00 V DC   ,1391,53.1,38, 053.31e00 V DC   ,1393,53.3,38, 053.41e00 V DC   ,1394,53.3,53.3,53.31,53.41
2024-07-01 22:11:52.261631,40,43, 060.85e00 V DC   ,1396,60.8,43, 060.81e00 V DC   ,1397,60.8,43, 060.60e00 V DC   ,1398,60.6,60.85,60.81,60.6
2024-07-01 22:11:56.853579,45,49, 068.70e00 V DC   ,1400,68.7,49, 068.79e00 V DC   ,1402,68.9,49, 068.70e00 V DC   ,1403,68.7,68.7,68.79,68.7
2024-07-01 22:12:01.437823,50,54, 075.96e00 V DC   ,1405,75.9,54, 075.97e00 V DC   ,1406,76.0,54, 076.00e00 V DC   ,1407,76.0,75.96,75.97,76.0
2024-07-01 22:12:06.055400,55,60, 084.07e00 V DC   ,1410,84.2,60, 084.07e00 V DC   ,1411,84.2,60, 084.08e00 V DC   ,1412,84.3,84.07,84.07,84.08
2024-07-01 22:12:10.805534,60,65, 091.38e00 V DC   ,1414,91.5,65, 091.40e00 V DC   ,1416,91.6,65, 091.40e00 V DC   ,1417,91.6,91.38,91.4,91.4
